                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                0.75614,                0.48499,                 1.0667,                0.90877,                0.99651,                0.98591,                 0.3522,                 2.3277,                 1.1794,                 2.1191,               0.003763,               0.003763,               0.003763
                     66,                0.72987,                 0.5013,                  1.039,                0.90746,                      1,                  0.995,                0.38678,                 2.1849,                0.94009,                  2.001,               0.003664,               0.003664,               0.003664
                     67,                0.74761,                0.45535,                 1.0451,                0.90642,                      1,                0.98591,                0.45418,                 1.9546,                0.87059,                 1.9525,               0.003565,               0.003565,               0.003565
                     68,                0.71463,                0.47139,                 1.0203,                0.98531,                    0.9,                0.97192,                0.40147,                 2.0293,                 1.0236,                 1.9949,               0.003466,               0.003466,               0.003466
                     69,                0.73496,                0.54103,                 1.0541,                0.89369,                 0.8432,                0.94056,                0.33809,                 2.2383,                 1.2637,                 2.1441,               0.003367,               0.003367,               0.003367
                     70,                0.70232,                0.44382,                  1.051,                0.90659,                    0.8,                0.94056,                0.34304,                 2.2842,                 1.1047,                 2.1417,               0.003268,               0.003268,               0.003268
                     71,                0.71521,                0.46341,                  1.039,                0.78174,                    0.8,                0.91635,                0.35577,                 2.2375,                 1.3418,                 1.9821,               0.003169,               0.003169,               0.003169
                     72,                0.70177,                0.45433,                 1.0225,                      1,                 0.8746,                 0.9575,                0.36353,                 2.1951,                 1.2939,                 1.8849,                0.00307,                0.00307,                0.00307
                     73,                0.72049,                0.43595,                 1.0439,                0.76798,                    0.8,                0.86923,                0.36743,                 2.2411,                 1.2209,                 1.9947,               0.002971,               0.002971,               0.002971
                     74,                 0.7057,                0.42946,                 1.0401,                0.86747,                    0.9,                  0.935,                0.42464,                 1.9142,                 1.1654,                 1.7445,               0.002872,               0.002872,               0.002872
                     75,                0.70956,                 0.4307,                 1.0387,                0.95032,                    0.9,                0.95056,                0.41938,                 2.0399,                 1.0465,                 1.7972,               0.002773,               0.002773,               0.002773
                     76,                0.69692,                0.44644,                 1.0247,                0.80867,                    0.9,                0.90626,                0.38097,                 2.0937,                 1.0424,                  1.891,               0.002674,               0.002674,               0.002674
